,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
112,hornbill - 2,0.9448818897637795,0.9382113821138212,0.9584717607973422,0.9482333607230896
113,hornbill - 3,0.94750656167979,0.9428104575163399,0.9584717607973422,0.9505766062602966
114,horse - 1,0.9133099824868651,0.8974789915966387,0.9335664335664335,0.9151670951156812
115,horse - 2,0.9123575810692375,0.9210084033613445,0.9118136439267887,0.9163879598662207
116,horse - 3,0.8580192813321648,0.8226744186046512,0.933993399339934,0.874806800618238
117,hummingbird - 1,0.9665198237885463,0.9962406015037594,0.9363957597173145,0.965391621129326
118,hummingbird - 2,0.9232804232804233,0.9058084772370487,0.9552980132450332,0.9298952457695407
119,hummingbird - 3,0.9656084656084656,0.9797979797979798,0.9556650246305419,0.9675810473815462
120,hyena - 1,0.8371278458844134,0.8216666666666667,0.8618881118881119,0.841296928327645
121,hyena - 2,0.9307624890446976,0.9762773722627737,0.8901830282861897,0.9312445604873804
122,hyena - 3,0.6757230499561788,0.9682539682539683,0.40264026402640263,0.5687645687645688
123,jellyfish - 1,0.978204010462075,0.9739130434782609,0.9824561403508771,0.9781659388646288
124,jellyfish - 2,0.972101133391456,0.9880749574105622,0.9586776859504132,0.9731543624161074
125,jellyfish - 3,0.9781849912739965,0.9948717948717949,0.9635761589403974,0.9789739276703111
126,kangaroo - 1,0.9131578947368421,0.9757575757575757,0.8473684210526315,0.9070422535211267
127,kangaroo - 2,0.9086918349429324,0.9384885764499121,0.8855721393034826,0.9112627986348124
128,kangaroo - 3,0.935908691834943,0.9819168173598554,0.8960396039603961,0.9370146678170838
129,koala - 1,0.9362445414847161,0.9068627450980392,0.9719789842381786,0.9382924767540152
130,koala - 2,0.948471615720524,0.9840425531914894,0.9173553719008265,0.9495295124037638
131,koala - 3,0.9213973799126638,0.9539823008849557,0.8938640132669984,0.922945205479452
132,ladybugs - 1,0.7325783972125436,0.6522727272727272,0.9982608695652174,0.7890034364261168
133,ladybugs - 2,0.9520905923344948,0.9627118644067797,0.9450915141430949,0.9538203190596138
134,ladybugs - 3,0.8735832606800349,0.8128415300546448,0.9867330016583747,0.8913857677902621
135,leopard - 1,0.9119718309859155,0.9936575052854123,0.8289241622574955,0.9038461538461539
136,leopard - 2,0.9427816901408451,0.9267515923566879,0.9683860232945092,0.9471114727420666
137,leopard - 3,0.960387323943662,0.9964912280701754,0.9296235679214403,0.9618966977138018
138,lion - 1,0.8390201224846894,0.7795163584637269,0.949740034662045,0.8562500000000001
139,lion - 2,0.9316987740805605,0.9545454545454546,0.9130434782608695,0.9333333333333332
